Befragten_ID;Reputation AG;Image Ges;Lernplätze-Gruppenräume;Mensa_Cafeteria;Modernen_Gebäude;Technische_Austatt;Begegnungsräume;Modul_Wahlmöglichkeiten ;Spezialisierungsmöglichkeiten ;Hochschul_Lern_Lehrklima?;Interaktion_Dozierenden;inter_didaktisch_Unterricht;Lernerfolg;Wissen_anwenden;Unterrichtsmodule_Englisch ;Austauschsemester;Double_Degree;Incoming_Students_Kontakt;Internat_Exkursionen;Standort_Allg;Nähe_Wohnort;Social Media;Werbung ;Anwesenheit_Freunde;Empfehlung_Freunde_Family;Empfehlung_Beruf;Empfehlung_Studierenden_Absolventen
1;5;4;5;4;5;5;5;6;6;6;6;7;7;7;7;7;4;7;4;7;7;5;6;4;5;5;5
2;4;6;6;3;6;4;6;7;6;4;4;5;4;6;7;7;5;3;5;7;7;3;4;3;5;3;5
3;4;4;4;4;5;5;4;5;7;5;4;4;4;4;7;7;4;7;7;7;7;4;1;4;4;4;4
4;6;6;4;4;5;6;6;6;6;6;6;6;6;6;3;7;5;5;4;5;4;4;4;3;5;5;5
5;5;5;4;4;4;4;4;4;6;4;4;4;4;7;1;1;1;1;1;7;7;1;1;1;1;2;1
6;5;4;1;1;4;4;4;7;5;5;4;6;6;7;2;2;2;1;4;6;6;4;4;4;5;7;5
7;6;6;5;6;6;6;5;6;5;5;6;6;6;6;5;7;4;5;4;6;5;1;1;6;6;6;6
8;6;6;4;5;6;7;6;4;5;6;6;6;7;7;4;5;3;3;5;6;6;4;4;2;2;2;2
9;4;2;1;1;5;5;3;7;7;6;5;6;5;6;7;6;2;2;7;5;5;1;1;4;4;4;4
10;6;6;6;6;7;7;5;6;6;6;6;6;6;7;3;5;3;3;4;7;7;4;4;5;5;5;6
11;5;4;6;7;7;6;4;7;7;4;4;7;7;6;4;7;1;4;4;7;7;4;1;5;7;6;6
12;5;5;6;6;6;6;6;6;7;6;2;4;4;4;5;5;5;1;1;6;6;2;1;5;4;5;5
13;5;5;4;4;4;5;4;5;5;4;4;5;6;6;3;4;2;2;3;7;7;3;2;6;6;6;6
14;6;6;6;4;7;7;3;7;7;6;6;6;7;7;7;7;5;5;4;7;7;2;2;6;6;6;7
15;6;5;3;2;5;5;5;5;6;4;2;6;7;6;6;7;4;4;3;7;7;4;4;6;4;6;6
16;6;6;7;4;6;6;5;6;5;6;6;6;6;6;4;4;4;4;4;6;6;5;4;5;6;4;6
17;7;5;2;3;5;6;4;7;6;6;7;7;6;7;3;7;7;4;7;7;7;4;2;3;5;4;6
18;5;5;5;5;5;5;5;6;5;4;4;5;6;6;4;4;4;4;4;6;6;5;5;5;6;5;5
19;5;7;4;4;4;4;5;6;6;6;4;7;7;6;4;4;1;4;5;7;6;2;3;5;5;5;5
20;7;7;5;4;6;6;5;7;7;7;5;7;7;7;7;6;4;6;6;7;5;3;4;6;6;6;7
21;3;3;2;1;5;6;5;7;7;5;5;5;7;6;6;7;6;6;5;7;6;1;1;5;4;4;5
22;4;5;5;3;6;6;4;5;5;6;5;7;6;7;7;5;3;4;5;5;5;3;3;3;5;5;5
23;7;7;6;6;7;7;3;6;7;7;7;7;7;7;3;4;3;1;2;5;5;3;5;3;7;7;7
24;4;4;5;3;6;7;5;6;5;7;7;7;7;6;5;2;3;2;6;7;7;3;2;3;3;3;5
25;5;2;5;2;5;5;5;6;6;5;4;5;5;5;1;3;3;3;3;7;6;3;3;1;2;2;2
26;5;5;7;7;7;7;7;7;7;7;5;7;7;7;5;4;6;4;4;7;7;5;5;6;6;6;5
27;3;3;2;2;3;5;3;5;5;2;4;4;6;6;2;2;2;2;2;7;7;2;2;2;2;2;4
28;5;6;5;3;5;5;5;7;7;6;7;5;6;7;6;4;1;2;3;7;5;2;5;1;5;1;5
29;5;2;3;2;5;5;4;5;7;4;5;5;5;5;1;1;1;1;1;6;5;5;1;7;6;6;6
30;6;5;2;1;1;5;1;7;7;6;5;5;6;6;4;2;1;1;1;7;7;1;1;5;2;2;2
31;6;5;1;1;2;4;4;6;6;6;5;6;6;7;3;3;3;3;7;7;7;2;2;3;5;5;4
32;4;5;5;5;6;6;5;7;6;6;5;6;5;7;4;6;4;4;4;7;7;5;4;7;7;7;7
33;5;6;7;6;6;6;7;6;7;4;5;7;6;7;3;3;3;3;3;3;3;2;2;2;4;5;6
34;6;5;4;4;5;5;4;6;7;5;5;7;6;5;6;6;4;5;4;6;5;3;3;5;6;5;5
35;4;5;3;3;5;6;7;6;6;5;4;5;6;6;1;2;1;1;5;7;7;3;3;7;7;3;6
36;6;6;5;4;4;4;5;6;6;6;6;6;6;6;5;5;5;5;5;6;7;4;4;5;6;6;4
37;5;5;3;3;3;3;2;6;6;3;3;6;5;5;5;5;2;3;5;6;5;3;2;2;4;4;3
38;5;5;5;3;5;5;3;6;6;6;5;6;6;6;2;6;2;3;5;6;6;5;3;5;5;5;5
39;7;6;5;4;6;5;5;7;7;6;3;7;7;7;5;6;5;4;7;7;7;2;2;2;4;5;5
40;6;5;6;5;6;5;4;6;7;6;7;7;6;6;4;5;4;5;5;7;7;5;4;2;5;4;5
41;7;4;6;3;3;6;1;6;6;6;3;6;6;6;4;6;3;3;6;6;6;1;1;2;4;6;7
