;Bei der Wahl der Hochschule, wie 6 war Ihnen...;Gesell_Anerkennung;IR_Reputation_AG;IR_Image_Gesell;IR_Reputation_Forschungsinst;IR_Akkreditierung;CI_Lernplätze;CI_Mensa;CI_Moderne_Gebäude;CI_Techn_Aust;CI_Begegnungsräume;CI_Studienberatung;SPM_Studienmodell;SPM_Modulwahlmögl;SPM_Spezialisierungsmögl;LL_Hochschulklima;LL_Klassengrösse;LL_Stundenpläne;LL_Interakt_Doz;LL_Sensibilität;UI_Praxisorientierung;UI_Akademische_Orient;UI_Interess_Unterr;UI_Lernerfolg;UI_Lernunterstützung;UI_Wissen_Anwendung;IN_Unterrichtssprache_Engl;IN_Austauschsemester;IN_Double_Degree;IN_Incoming_Students;IN_Internat_Exkursionen;SO_Allg;SO_Nähe_WO;SO_Erreichbarkeit_ÖV;SO_Parkplätze;SO_Jobangebote;SO_Freizeit;IQ_Infoveranstalung;IQ_Webseite;IQ_SocialM;IQ_Werbung;NE_Anwesenheit_Freunde;NE_PersEmp_FreundeFam;NE_PersEmp_Arbeitgeber;NE_PersEmpf_Absolv
Bei der Wahl der Hochschule, wie 6 war Ihnen...;1.000;,318**;,200**;,103*;,178**;,155**;,186**;,149**;0.058;,150**;,112*;,182**;0.047;0.098;0.102;0.086;-0.013;0.070;-0.027;0.009;-0.012;0.040;0.067;0.091;,115*;0.100;0.072;0.061;,115*;0.024;0.037;0.009;-0.022;0.020;,119*;,283**;0.076;0.014;0.064;0.052;0.011;0.102;-0.006;0.059;0.073
Gesell_Anerkennung;,318**;1.000;,398**;,394**;,148**;,271**;,211**;,198**;,125*;,195**;0.097;0.074;0.062;,118*;,172**;,164**;0.059;0.100;0.069;,106*;0.075;,142**;,132*;,122*;0.042;0.060;,144**;,144**;0.087;,113*;,167**;0.070;-0.036;,185**;-0.055;0.079;0.095;,243**;,159**;0.089;0.011;0.018;0.099;,160**;,239**
IR_Reputation_AG;,200**;,398**;1.000;,618**;,271**;,475**;,207**;,226**;,237**;,270**;,169**;,208**;0.068;,192**;,223**;,314**;,196**;,145**;,229**;,132*;,237**;,215**;,273**;,307**;,196**;,249**;,214**;,217**;,147**;,153**;,221**;-0.007;-,134*;,143**;0.029;,144**;,134*;,304**;,180**;,141**;0.023;0.046;,210**;,355**;,319**
IR_Image_Gesell;,103*;,394**;,618**;1.000;,389**;,382**;,243**;,260**;,287**;,296**;,254**;,247**;0.069;,184**;,169**;,308**;,201**;,230**;,277**;,185**;,208**;,206**;,219**;,306**;,116*;,176**;,135**;0.102;0.084;,186**;,181**;-0.019;-0.064;,108*;0.060;,117*;,198**;,244**;0.100;,146**;0.097;,110*;,219**;,292**;,319**
IR_Reputation_Forschungsinst;,178**;,148**;,271**;,389**;1.000;,438**;,254**;,198**;,167**;,235**;,198**;,368**;0.024;,261**;,151**;,275**;,274**;,152**;,350**;,300**;,148**;,314**;,176**;,219**;,145**;,198**;,249**;,138**;,301**;,344**;,193**;-0.042;-0.029;0.089;0.000;,223**;,181**;,149**;0.011;,164**;,189**;0.069;0.042;,140**;0.096
IR_Akkreditierung;,155**;,271**;,475**;,382**;,438**;1.000;,282**;,195**;,192**;,262**;,186**;,376**;0.005;,141**;,147**;,287**;,219**;,122*;,371**;,278**;,191**;,344**;,219**;,209**;,190**;,143**;,194**;,236**;,219**;,239**;,171**;-0.083;-,106*;0.052;0.039;,211**;,201**;,237**;0.084;,199**;,157**;,114*;,112*;,213**;,214**
CI_Lernplätze;,186**;,211**;,207**;,243**;,254**;,282**;1.000;,628**;,490**;,467**;,525**;,402**;0.011;,182**;,171**;,423**;,214**;,165**;,265**;,239**;0.060;,214**;,228**;,236**;,254**;,115*;,116*;,117*;,139**;,201**;0.092;-0.027;-0.060;0.067;,189**;,224**;,284**;,109*;0.078;,215**;,215**;,151**;0.024;0.068;,149**
CI_Mensa;,149**;,198**;,226**;,260**;,198**;,195**;,628**;1.000;,556**;,491**;,585**;,349**;0.055;,158**;,129*;,355**;,262**;,180**;,248**;,258**;,126*;,194**;,229**;,189**;,248**;,144**;0.045;0.063;,103*;,141**;0.095;0.041;-0.060;0.078;,194**;,249**;,283**;,113*;,113*;,252**;,157**;,197**;0.049;0.096;,108*
CI_Moderne_Gebäude;0.058;,125*;,237**;,287**;,167**;,192**;,490**;,556**;1.000;,633**;,542**;,331**;,121*;,244**;,228**;,294**;,176**;,144**;,239**;,137**;,173**;,209**;,260**;,237**;,200**;,203**;0.089;,154**;0.093;,103*;,103*;0.071;-0.055;,172**;,150**;,135*;,262**;,178**;,154**;,183**;,188**;,142**;,130*;,128*;,168**
